amendment1	time1	trial1	plant_id1	no_leaves1
BSFF	21	1	1	5
BSFF	21	1	2	3
BSFF	21	1	3	2
BSFF	21	1	4	2
BSFF	21	1	5	3
BSFF	21	1	6	4
BSFF	21	1	7	4
BSFF	21	1	8	3
BSFF	21	1	9	3
BSFF	21	1	10	3
BSFF	21	1	11	3
BSFF	21	1	12	3
BSFF	21	1	13	4
BSFF	21	1	14	4
BSFF	21	1	15	3
BSFF	21	1	16	3
BSFF	21	1	17	3
BSFF	21	1	18	5
BSFF	21	1	19	5
BSFF	21	1	20	5
BSFF	21	1	21	4
BSFF	21	1	22	3
BSFF	21	1	23	5
BSFF	21	1	24	4
BSFF	28	1	1	6
BSFF	28	1	2	4
BSFF	28	1	3	4
BSFF	28	1	4	3
BSFF	28	1	5	3
BSFF	28	1	6	4
BSFF	28	1	7	5
BSFF	28	1	8	4
BSFF	28	1	9	4
BSFF	28	1	10	4
BSFF	28	1	11	5
BSFF	28	1	12	5
BSFF	28	1	13	4
BSFF	28	1	14	3
BSFF	28	1	15	3
BSFF	28	1	16	5
BSFF	28	1	17	5
BSFF	28	1	18	3
BSFF	28	1	19	4
BSFF	28	1	20	3
BSFF	28	1	21	3
BSFF	28	1	22	7
BSFF	28	1	23	7
BSFF	28	1	24	4
BSFF	28	1	25	6
BSFF	28	1	26	5
BSFF	28	1	27	4
BSFF	28	1	28	4
BSFF	28	1	29	6
BSFF	28	1	30	5
BSFF	35	1	1	7
BSFF	35	1	2	6
BSFF	35	1	3	5
BSFF	35	1	4	4
BSFF	35	1	5	5
BSFF	35	1	6	4
BSFF	35	1	7	7
BSFF	35	1	8	5
BSFF	35	1	9	5
BSFF	35	1	10	6
BSFF	35	1	11	7
BSFF	35	1	12	6
BSFF	35	1	13	5
BSFF	35	1	14	4
BSFF	35	1	15	4
BSFF	35	1	16	6
BSFF	35	1	17	7
BSFF	35	1	18	5
BSFF	35	1	19	5
BSFF	35	1	20	3
BSFF	35	1	21	5
BSFF	35	1	22	8
BSFF	35	1	23	8
BSFF	35	1	24	5
BSFF	35	1	25	8
BSFF	35	1	26	7
BSFF	35	1	27	5
BSFF	35	1	28	7
BSFF	35	1	29	7
BSFF	42	1	1	9
BSFF	42	1	2	7
BSFF	42	1	3	7
BSFF	42	1	4	5
BSFF	42	1	5	6
BSFF	42	1	6	6
BSFF	42	1	7	8
BSFF	42	1	8	7
BSFF	42	1	9	6
BSFF	42	1	10	8
BSFF	42	1	11	7
BSFF	42	1	12	8
BSFF	42	1	13	5
BSFF	42	1	14	6
BSFF	42	1	15	6
BSFF	42	1	16	8
BSFF	42	1	17	8
BSFF	42	1	18	7
BSFF	42	1	19	7
BSFF	42	1	20	6
