amendment1	time1	trial1	plant_id1	no_leaves1
BSFF	42	1	21	6
BSFF	42	1	22	10
BSFF	42	1	23	9
BSFF	42	1	24	6
BSFF	42	1	25	9
BSFF	42	1	26	9
BSFF	42	1	27	6
BSFF	42	1	28	6
BSFF	42	1	29	9
BSFF	42	1	30	8
MWF	21	1	1	3
MWF	21	1	2	3
MWF	21	1	3	3
MWF	21	1	4	3
MWF	21	1	5	3
MWF	21	1	6	5
MWF	21	1	7	4
MWF	21	1	8	5
MWF	21	1	9	4
MWF	21	1	10	3
MWF	21	1	11	3
MWF	21	1	12	3
MWF	21	1	13	3
MWF	21	1	14	2
MWF	21	1	15	5
MWF	21	1	16	5
MWF	21	1	17	4
MWF	21	1	18	5
MWF	21	1	19	4
MWF	21	1	20	5
MWF	21	1	21	4
MWF	21	1	22	5
MWF	21	1	23	5
MWF	21	1	24	4
MWF	21	1	25	4
MWF	21	1	26	2
MWF	21	1	27	4
MWF	21	1	28	4
MWF	21	1	29	3
MWF	21	1	30	4
MWF	28	1	1	5
MWF	28	1	2	4
MWF	28	1	3	5
MWF	28	1	4	4
MWF	28	1	5	4
MWF	28	1	6	6
MWF	28	1	7	6
MWF	28	1	8	6
MWF	28	1	9	6
MWF	28	1	10	3
MWF	28	1	11	5
MWF	28	1	12	4
MWF	28	1	13	5
MWF	28	1	14	3
MWF	28	1	15	7
MWF	28	1	16	6
MWF	28	1	17	7
MWF	28	1	18	8
MWF	28	1	19	6
MWF	28	1	20	7
MWF	28	1	21	6
MWF	28	1	22	7
MWF	28	1	23	7
MWF	28	1	24	4
MWF	28	1	25	7
MWF	28	1	26	2
MWF	28	1	27	6
MWF	28	1	28	5
MWF	28	1	29	4
MWF	28	1	30	6
MWF	35	1	1	8
MWF	35	1	2	7
MWF	35	1	3	7
MWF	35	1	4	6
MWF	35	1	5	7
MWF	35	1	6	9
MWF	35	1	7	7
MWF	35	1	8	8
MWF	35	1	9	8
MWF	35	1	10	7
MWF	35	1	11	6
MWF	35	1	12	7
MWF	35	1	13	5
MWF	35	1	14	8
MWF	35	1	15	8
MWF	35	1	16	9
MWF	35	1	17	10
MWF	35	1	18	8
MWF	35	1	19	8
MWF	35	1	20	8
MWF	35	1	21	8
MWF	35	1	22	8
MWF	35	1	23	7
MWF	35	1	24	9
MWF	35	1	25	4
MWF	35	1	26	7
MWF	35	1	27	7
MWF	35	1	28	6
MWF	35	1	29	9
MWF	42	1	1	10
MWF	42	1	2	9
MWF	42	1	3	8
MWF	42	1	4	8
MWF	42	1	5	8
MWF	42	1	6	12
MWF	42	1	7	9
MWF	42	1	8	9
MWF	42	1	9	9
MWF	42	1	10	5
MWF	42	1	11	9
MWF	42	1	12	8
MWF	42	1	13	9
MWF	42	1	14	7
MWF	42	1	15	10
MWF	42	1	16	9
MWF	42	1	17	10
MWF	42	1	18	13
MWF	42	1	19	9
MWF	42	1	20	9
MWF	42	1	21	9
MWF	42	1	22	9
MWF	42	1	23	9
MWF	42	1	24	9
MWF	42	1	25	11
MWF	42	1	26	5
MWF	42	1	27	9
MWF	42	1	28	9
MWF	42	1	29	9
MWF	42	1	30	11
NoFrass	21	1	1	4
NoFrass	21	1	2	5
NoFrass	21	1	3	4
NoFrass	21	1	4	4
NoFrass	21	1	5	5
NoFrass	21	1	6	5
NoFrass	21	1	7	5
NoFrass	21	1	8	5
NoFrass	21	1	9	4
NoFrass	21	1	10	5
NoFrass	21	1	11	4
NoFrass	21	1	12	5
NoFrass	21	1	13	4
NoFrass	21	1	14	4
NoFrass	21	1	15	4
NoFrass	21	1	16	4
NoFrass	21	1	17	4
NoFrass	21	1	18	4
NoFrass	21	1	19	3
NoFrass	21	1	20	4
NoFrass	21	1	21	4
NoFrass	21	1	22	4
NoFrass	21	1	23	4
NoFrass	21	1	24	4
NoFrass	21	1	25	5
NoFrass	21	1	26	5
NoFrass	21	1	27	4
NoFrass	21	1	28	4
NoFrass	21	1	29	4
NoFrass	21	1	30	4
NoFrass	28	1	1	6
NoFrass	28	1	2	7
NoFrass	28	1	3	7
NoFrass	28	1	4	5
NoFrass	28	1	5	6
NoFrass	28	1	6	7
NoFrass	28	1	7	7
NoFrass	28	1	8	7
NoFrass	28	1	9	6
NoFrass	28	1	10	7
NoFrass	28	1	11	6
NoFrass	28	1	12	7
NoFrass	28	1	13	6
NoFrass	28	1	14	6
NoFrass	28	1	15	7
NoFrass	28	1	16	6
NoFrass	28	1	17	6
NoFrass	28	1	18	6
NoFrass	28	1	19	5
NoFrass	28	1	20	6
NoFrass	28	1	21	7
NoFrass	28	1	22	5
NoFrass	28	1	23	6
NoFrass	28	1	24	4
NoFrass	28	1	25	7
NoFrass	28	1	26	7
NoFrass	28	1	27	6
NoFrass	28	1	28	6
NoFrass	28	1	29	5
NoFrass	28	1	30	5
NoFrass	35	1	1	8
NoFrass	35	1	2	8
NoFrass	35	1	3	8
NoFrass	35	1	4	7
NoFrass	35	1	5	7
NoFrass	35	1	6	8
NoFrass	35	1	7	8
NoFrass	35	1	8	8
NoFrass	35	1	9	7
NoFrass	35	1	10	9
NoFrass	35	1	11	8
NoFrass	35	1	12	7
NoFrass	35	1	13	7
NoFrass	35	1	14	8
NoFrass	35	1	15	9
NoFrass	35	1	16	7
NoFrass	35	1	17	8
NoFrass	35	1	18	7
NoFrass	35	1	19	7
NoFrass	35	1	20	7
NoFrass	35	1	21	8
NoFrass	35	1	22	6
NoFrass	35	1	23	7
NoFrass	35	1	24	5
NoFrass	35	1	25	8
NoFrass	35	1	26	9
NoFrass	35	1	27	8
NoFrass	35	1	28	8
NoFrass	35	1	29	7
NoFrass	35	1	30	8
NoFrass	42	1	1	11
NoFrass	42	1	2	9
NoFrass	42	1	3	9
NoFrass	42	1	4	8
NoFrass	42	1	5	8
NoFrass	42	1	6	9
NoFrass	42	1	7	10
NoFrass	42	1	8	10
NoFrass	42	1	9	8
NoFrass	42	1	10	9
NoFrass	42	1	11	9
NoFrass	42	1	12	8
NoFrass	42	1	13	9
NoFrass	42	1	14	9
NoFrass	42	1	15	10
NoFrass	42	1	16	8
NoFrass	42	1	17	9
NoFrass	42	1	18	7
NoFrass	42	1	19	9
NoFrass	42	1	20	8
NoFrass	42	1	21	8
NoFrass	42	1	22	8
NoFrass	42	1	23	8
NoFrass	42	1	24	7
NoFrass	42	1	25	9
NoFrass	42	1	26	10
NoFrass	42	1	27	8
NoFrass	42	1	28	9
NoFrass	42	1	29	9
NoFrass	42	1	30	11
