amendment2	time2	block2	plant_id2	no_leaves2
MWF	21	2	3	5
MWF	21	2	4	4
MWF	21	2	5	4
MWF	21	2	6	5
MWF	21	2	7	4
MWF	21	2	8	5
MWF	21	2	9	5
MWF	21	2	10	5
MWF	21	2	11	5
MWF	21	2	12	4
MWF	21	2	13	5
MWF	21	2	14	5
MWF	21	2	15	4
MWF	21	2	16	5
MWF	21	2	17	5
MWF	21	2	18	5
MWF	21	2	19	5
MWF	21	2	20	5
MWF	21	2	21	5
MWF	21	2	22	5
MWF	21	2	23	5
MWF	21	2	24	5
MWF	21	2	25	5
MWF	21	2	26	4
MWF	21	2	27	4
MWF	21	2	28	5
MWF	21	2	29	5
MWF	21	2	30	5
MWF	28	2	1	6
MWF	28	2	2	6
MWF	28	2	3	6
MWF	28	2	4	5
MWF	28	2	5	5
MWF	28	2	6	6
MWF	28	2	7	6
MWF	28	2	8	7
MWF	28	2	9	6
MWF	28	2	10	8
MWF	28	2	11	7
MWF	28	2	12	5
MWF	28	2	13	6
MWF	28	2	14	7
MWF	28	2	15	6
MWF	28	2	16	7
MWF	28	2	17	6
MWF	28	2	18	6
MWF	28	2	19	6
MWF	28	2	20	6
MWF	28	2	21	7
MWF	28	2	22	7
MWF	28	2	23	6
MWF	28	2	24	6
MWF	28	2	25	6
MWF	28	2	26	6
MWF	28	2	27	5
MWF	28	2	28	6
MWF	28	2	29	6
MWF	28	2	30	7
MWF	35	2	1	8
MWF	35	2	2	7
MWF	35	2	3	9
MWF	35	2	4	6
MWF	35	2	5	7
MWF	35	2	6	7
MWF	35	2	7	8
MWF	35	2	8	8
MWF	35	2	9	8
MWF	35	2	10	9
MWF	35	2	11	9
MWF	35	2	12	5
MWF	35	2	13	7
MWF	35	2	14	8
MWF	35	2	15	8
MWF	35	2	16	8
MWF	35	2	17	8
MWF	35	2	18	8
MWF	35	2	19	8
MWF	35	2	20	8
MWF	35	2	21	10
MWF	35	2	22	8
MWF	35	2	23	8
MWF	35	2	24	8
MWF	35	2	25	7
MWF	35	2	26	7
MWF	35	2	27	7
MWF	35	2	28	7
MWF	35	2	29	9
MWF	35	2	30	8
MWF	42	2	1	10
MWF	42	2	2	8
MWF	42	2	3	10
MWF	42	2	4	7
MWF	42	2	5	9
MWF	42	2	6	9
MWF	42	2	7	10
MWF	42	2	8	11
MWF	42	2	9	9
MWF	42	2	10	11
MWF	42	2	11	11
MWF	42	2	12	6
MWF	42	2	13	9
MWF	42	2	14	9
MWF	42	2	15	9
MWF	42	2	16	10
MWF	42	2	17	10
MWF	42	2	18	10
MWF	42	2	19	10
MWF	42	2	20	11
MWF	42	2	21	13
MWF	42	2	22	10
MWF	42	2	23	10
MWF	42	2	24	10
MWF	42	2	25	10
MWF	42	2	26	9
MWF	42	2	27	9
MWF	42	2	28	10
MWF	42	2	29	9
MWF	42	2	30	10
