amendment	tme	plant_id	leaflength	leafwidth	WW	LW	leafarea	leaf_count
MWF	14	2	2.8	2	4	5.6	5.42	3
MWF	14	3	3.6	2.5	6.25	9	7.88	4
MWF	14	4	2.9	2.1	4.41	6.09	5.88	4
MWF	14	5	2.7	1.4	1.96	3.78	3.05	3
MWF	14	6	3.5	2.7	7.29	9.45	8.99	4
MWF	14	7	2.4	2	4	4.8	5.42	4
MWF	14	8	2.8	2.7	7.29	7.56	8.99	4
MWF	14	9	1.9	1.8	3.24	3.42	4.56	4
MWF	14	10	3.9	2.4	5.76	9.36	7.36	4
MWF	14	11	3.9	2.7	7.29	10.53	8.99	3
MWF	14	12	3.3	2.4	5.76	7.92	7.36	3
MWF	21	1	5	4.2	17.64	21	19.58	6
MWF	21	2	4	3.1	9.61	12.4	11.43	5
MWF	21	3	6.2	3.6	12.96	22.32	14.87	6
MWF	21	4	4.9	3.8	14.44	18.62	16.37	6
MWF	21	5	4.7	2.8	7.84	13.16	9.57	5
MWF	21	6	4.4	3.3	10.89	14.52	12.75	6
MWF	21	7	4.7	3.9	15.21	18.33	17.14	6
MWF	21	8	3.6	3.3	10.89	11.88	12.75	5
MWF	21	9	3.9	3	9	11.7	10.79	5
MWF	21	10	6.8	4.5	20.25	30.6	22.18	6
MWF	21	11	6.5	4.3	18.49	27.95	20.43	5
MWF	21	12	5.5	4.7	22.09	25.85	24.00	5
MWF	28	1	9.3	6	36	55.8	37.55	7
MWF	28	2	6.4	5.5	30.25	35.2	31.99	6
MWF	28	3	9.2	6	36	55.2	37.55	7
MWF	28	4	9.5	6.1	37.21	57.95	38.72	7
MWF	28	5	6.4	3.8	14.44	24.32	16.37	7
MWF	28	6	6.5	4.5	20.25	29.25	22.18	7
MWF	28	7	7.9	5.3	28.09	41.87	29.88	8
MWF	28	8	7.3	5.1	26.01	37.23	27.85	7
MWF	28	9	5.8	5.3	28.09	30.74	29.88	7
MWF	28	10	9.7	5.2	27.04	50.44	28.86	8
MWF	28	11	8.8	5.9	34.81	51.92	36.41	6
MWF	28	12	9.1	5.5	30.25	50.05	31.99	6
MWF	35	1	10.2	6.6	43.56	67.32	44.82	8
MWF	35	2	7.7	5.5	30.25	42.35	31.99	8
MWF	35	3	12.7	6.8	46.24	86.36	47.39	8
MWF	35	4	11.5	6.7	44.89	77.05	46.10	10
MWF	35	5	8	5.2	27.04	41.6	28.86	9
MWF	35	6	8.1	5.6	31.36	45.36	33.06	10
MWF	35	7	10.5	5.7	32.49	59.85	34.16	14
MWF	35	8	9.5	6.1	37.21	57.95	38.72	8
MWF	35	9	9	6.7	44.89	60.3	46.10	10
MWF	35	10	14.1	5.8	33.64	81.78	35.27	10
MWF	35	11	9.8	6.9	47.61	67.62	48.70	9
MWF	35	12	10.1	5.7	32.49	57.57	34.16	8
